Voltage (V),Temperature (K),Red,Green,Blue
52.0,6763.6303774513135,1.815890149806263e-05,1.7538792241075155e-05,1.3612342718737888e-05
53.0,6813.284374172694,1.867425740661253e-05,1.8054076526839516e-05,1.409228534582942e-05
54.0,6862.364556831594,1.919082130101028e-05,1.857103438373264e-05,1.4576321907903812e-05
55.0,6910.888001730724,1.9708490621254552e-05,1.908955263514256e-05,1.5064303560359268e-05
56.0,6958.870977371947,2.022716824510536e-05,1.9609523749462865e-05,1.5556086850072955e-05
57.0,7006.328996340837,2.074676216640229e-05,2.0130845522047585e-05,1.605153350046213e-05
58.0,7053.276863011191,2.126718519517159e-05,2.0653420777659772e-05,1.6550510204876078e-05
59.0,7099.7287174722605,2.178835467786189e-05,2.117715709194077e-05,1.7052888428160675e-05
60.0,7145.698076036397,2.231019223618618e-05,2.170196653054006e-05,1.7558544216205338e-05
61.0,7191.197868645663,2.283262352317503e-05,2.2227765404651768e-05,1.8067358013258628e-05
62.0,7236.2404734615275,2.3355577995160566e-05,2.2754474041799795e-05,1.8579214486781525e-05
63.0,7280.837748891574,2.3878988698516274e-05,2.3282016570802695e-05,1.9094002359595325e-05
64.0,7325.0010632806525,2.4402792070073553e-05,2.381032071993198e-05,1.9611614249073953e-05
65.0,7368.741322470461,2.492692775022261e-05,2.433931762735118e-05,2.0131946513126158e-05
66.0,7412.0689954108975,2.5451338407786264e-05,2.486894166299406e-05,2.0654899102712386e-05
67.0,7454.994137988224,2.59759695758269e-05,2.5399130261102725e-05,2.1180375420641657e-05
68.0,7497.526415218834,2.6500769497613653e-05,2.5929823762704573e-05,2.1708282186397228e-05
69.0,7539.675121943038,2.702568898203797e-05,2.646096526736224e-05,2.2238529306743915e-05
70.0,7581.449202140436,2.755068126782104e-05,2.6992500493578797e-05,2.2771029751875706e-05
71.0,7622.857266976961,2.8075701895906852e-05,2.7524377647286302e-05,2.3305699436867888e-05
72.0,7663.90761168356,2.8600708589482538e-05,2.805654729788833e-05,2.3842457108205833e-05
73.0,7704.608231357195,2.9125661141108396e-05,2.858896226136439e-05,2.4381224235168864e-05
74.0,7744.966835766809,2.9650521306480977e-05,2.91215774899813e-05,2.4921924905855982e-05
75.0,7784.990863239419,3.0175252704386715e-05,2.9654349968187518e-05,2.5464485727647833e-05
76.0,7824.687493694966,3.069982072243781e-05,3.0187238614297908e-05,2.600883573190664e-05
77.0,7864.063660892573,3.122419242821139e-05,3.0720204187604234e-05,2.6554906282724645e-05
78.0,7903.12606394551,3.1748336485440885e-05,3.1253209200570746e-05,2.7102630989538308e-05
79.0,7941.881178157312,3.227222307493461e-05,3.1786217835800664e-05,2.7651945623434164e-05
80.0,7980.335265227129,3.279582381991877e-05,3.2319195867477694e-05,2.8202788036978637e-05
81.0,8018.494382868433,3.3319111715525276e-05,3.2852110587011136e-05,2.8755098087412594e-05
82.0,8056.364393881591,3.384206106216331e-05,3.338493073262767e-05,2.93088175630578e-05
83.0,8093.9509747175825,3.436464740253265e-05,3.391762642267346e-05,2.986389011278908e-05
84.0,8131.259623567165,3.488684746205313e-05,3.4450169092403766e-05,3.0420261178433546e-05
85.0,8168.2956680071065,3.540863909250146e-05,3.498253143405458e-05,3.097787792996406e-05
86.0,8205.064272232634,3.593000121865848e-05,3.5514687340001456e-05,3.1536689203359535e-05
87.0,8241.57044390305,3.645091378778703e-05,3.604661184882684e-05,3.209664544101285e-05
88.0,8277.819040625376,3.697135772176863e-05,3.657828109412576e-05,3.265769863456967e-05
89.0,8313.814776099061,3.749131487174254e-05,3.71096722558934e-05,3.3219802270089874e-05
90.0,8349.562225943067,3.801076797509807e-05,3.7640763514346276e-05,3.378291127542637e-05
91.0,8385.065833225079,3.85297006146832e-05,3.81715340060391e-05,3.434698196972205e-05
92.0,8420.329913711177,3.9048097180100165e-05,3.8701963782148606e-05,3.4911972014930274e-05
93.0,8455.358660852968,3.956594283096766e-05,3.923203376880236e-05,3.547784036926844e-05
94.0,8490.156150527975,4.0083223462036604e-05,3.97617257293394e-05,3.604454724251867e-05
95.0,8524.72634554799,4.059992567005462e-05,4.0291022228396476e-05,3.661205405309368e-05
96.0,8559.073099949068,4.111603672228016e-05,4.0819906597719555e-05,3.718032338679046e-05
97.0,8593.200163075877,4.163154452655352e-05,4.1348362903607065e-05,3.774931895715654e-05
98.0,8627.111183472289,4.214643760283856e-05,4.187637591589665e-05,3.831900556739897e-05
99.0,8660.809712589287,4.2660705056153626e-05,4.240393107841313e-05,3.88893490737684e-05
100.0,8694.299208320494,4.317433655081491e-05,4.293101448079893e-05,3.946031635035354e-05
101.0,8727.583038375004,4.368732228592195e-05,4.345761283165525e-05,4.003187525522616e-05
102.0,8760.664483496525,4.4199652972016425e-05,4.39837134329238e-05,4.0603994597876894e-05
103.0,8793.546740537255,4.471131980885248e-05,4.450930415544534e-05,4.117664410788734e-05
104.0,8826.232925394424,4.522231446421859e-05,4.503437341563368e-05,4.174979440478558e-05
105.0,8858.726075816858,4.573262905375509e-05,4.555891015320741e-05,4.2323416969033914e-05
106.0,8891.02915408852,4.6242256121715384e-05,4.6082903809926216e-05,4.2897484114101894e-05
107.0,8923.145049595527,4.6751188622620866e-05,4.660634430927934e-05,4.347196895957775e-05
108.0,8955.07658128273,4.725941990376369e-05,4.7129222037079954e-05,4.404684540527551e-05
109.0,8986.826500005596,4.776694368851265e-05,4.765152782291755e-05,4.462208810629527e-05
110.0,9018.397490782761,4.827375406038212e-05,4.8173252922428546e-05,4.519767244899784e-05
111.0,9049.792174954322,4.8779845447824354e-05,4.869438900034197e-05,4.577357452785502e-05
112.0,9081.013112250615,4.928521260970826e-05,4.9214928114263564e-05,4.634977112313979e-05
113.0,9112.06280277596,4.978985062145078e-05,4.97348626991616e-05,4.6926239679421923e-05
114.0,9142.943688911584,5.0293754861768004e-05,5.025418555252079e-05,4.7502958284835815e-05
115.0,9173.658157141705,5.079692100001437e-05,5.0772889820131126e-05,4.8079905651089426e-05
116.0,9204.208539806505,5.129934498408264e-05,5.129096898248281e-05,4.8657061094184275e-05
117.0,9234.59711678552,5.180102302883438e-05,5.180841684173567e-05,4.9234404515817405e-05
118.0,9264.826117114804,5.230195160503831e-05,5.232522750923898e-05,4.981191638543813e-05
119.0,9294.89772054098,5.280212742878889e-05,5.2841395393573274e-05,5.038957772293439e-05
120.0,9324.814059015162,5.3301547451383546e-05,5.3356915189090393e-05,5.0967370081921605e-05
