Reference Voltage (V):,6.3,Reference Luminance (lm sr^-1 m^-2):,315000.0
Voltage (V),Temperature (K),X,Y,Z,Red,Green,Blue
60.0,5796.302285031675,137281751.27774435,141076954.43671864,141670711.57536945,23328533.09882299,25321151.76725776,25068384.691271964
61.0,5833.20988301066,141251894.41486263,145215584.6624087,146722065.29482976,23914823.384564076,26083243.696626205,25963634.604704365
62.0,5869.746628677753,145247084.50032502,149380853.23809206,151835335.66091037,24502239.6555183,26850748.847221624,26869897.664450042
63.0,5905.922141095252,149266484.06538716,153571846.72249046,157009224.3487726,25090683.93529676,27623492.600168772,27786943.554058716
64.0,5941.745641806324,153309283.63434085,157787682.3903122,162242458.9522245,25680062.941138983,28401305.945174173,28714546.533479944
65.0,5977.22597719021,157374700.64678696,162027507.0654639,167533792.71249107,26270287.840518184,29184025.27999001,29652485.39260542
66.0,6012.371639237138,161461978.4252793,166290496.0011373,172882004.2158735,26861274.021872275,29971492.217085518,30600543.39917731
67.0,6047.190784876759,165570385.18651366,170575851.8051509,178285897.06504324,27452940.878560312,30763553.39735806,31558508.241912525
68.0,6081.69125398084,169699213.09427863,174882803.40892816,183744299.52819085,28045211.605205573,31560060.31070418,32526171.96959929
69.0,6115.88058614923,173847777.35242188,179210605.07849035,189256064.16975763,28638013.005642872,32360869.12325893,33503330.926834084
70.0,6149.766036377709,178015415.33613718,183558535.46586567,194820067.4660603,29231275.31174035,33165840.511106595,34489785.68699286
71.0,6183.354589697026,182201485.75992152,187925896.6993291,200435209.40872934,29824932.01241482,33974839.50025886,35485340.98296061
72.0,6216.652974864201,186405367.88061437,192312013.5109336,206100413.0985499,30418919.692205697,34787735.31269725,36489805.636084065
73.0,6249.667677179661,190626460.73398006,196716232.39981464,211814624.33198476,31013177.87881584,35604401.21827281,37502992.483757116
74.0,6282.4049504972445,194864182.40335494,201137920.82980525,217576811.18239796,31607648.899065275,36424714.392260276,38524718.30600192
75.0,6314.87082848804,199117969.31893897,205576466.4599305,223385963.57774916,32202277.742744125,37248555.778362654,39554803.75136396
76.0,6347.07113521373,203387275.58636087,210031276.40640283,229241092.87631753,32797011.933880515,38075809.95696777,40593073.26240196
77.0,6379.011495060263,207671572.3432161,214501776.53478453,235141231.4418262,33391801.40897735,38906365.01846034,41639355.00101943
78.0,6410.697342078328,211970347.1423138,218987410.7810305,241085432.2191597,33986598.40179431,39740112.4413984,42693480.773853265
79.0,6442.133928773175,216283103.3604433,223487640.50017795,247072768.3117284,34581357.334285945,40576946.975367956,43755285.957909286
80.0,6473.326334382793,220609359.63150606,228001943.8414856,253102332.5613808,35176034.71332809,41416766.52833301,44824609.426608
81.0,6504.279472680201,224948649.30291945,232529815.14888436,259173237.13165915,35770589.03288977,42259472.05830569,45901293.476384215
82.0,6534.998099332771,229300519.9142474,237070764.38564488,265284613.09508112,36364980.681330256,43104967.46916622,46985183.75396448
83.0,6565.486818848755,233664532.6970551,241624316.58220118,271435610.0250256,36959171.85352248,43953159.510465644,48076129.184427306
84.0,6595.750091138904,238040262.09504068,246190011.30613887,277625395.59273463,37553126.46752072,44803957.68105513,49173981.900139205
85.0,6625.7922377187715,242427295.3035283,250767402.15336496,283853155.1698438,38146810.085511975,45657274.13638386,50278597.170641966
86.0,6655.617447575394,246825231.82746184,255356056.25955838,290118091.4368085,38740189.8388027,46513023.59932229,51389833.3335582
